k,inertia
2,4438.0881
3,3059.2809
5,1764.3055
7,1297.9871
10,910.7672
11,844.4074
12,787.1417
13,725.2054
14,682.6897
15,641.7470
16,602.6859
17,575.0039
18,549.6114
19,527.0549
20,507.3715
22,467.7361
25,415.6154
28,378.9180
30,360.8987
32,342.9488
34,330.3884
36,314.3085
38,301.0364
40,290.1390
42,279.6923
45,265.0394
48,252.2915
50,241.1074
52,234.5274
54,227.2719
58,213.0348
60,209.4858
65,195.5957
68,186.7358
70,183.7291
80,163.4125
90,149.0281
100,138.8218
200,78.8760
400,44.8424
